"","Bradyrhizobium","RB41","Pseudarthrobacter","Thermomonas","Chryseolinea","Acidibacter","Steroidobacter","Pseudolabrys","MND1","Vicinamibacter","Sphingomonas","Massilia","Desulfuromonas","Pseudomonas","Nitrospira","Devosia","Adhaeribacter","Hyphomicrobium","Paucibacter","Nitrosospira","Methylibium","Ramlibacter","Haliangium","Mesorhizobium","Bryobacter","ADurb.Bin063-1","Ferruginibacter","Candidatus_Udaeobacter","Arenimonas","Flavobacterium","Reyranella","Subgroup_10","Ellin6067","Variovorax","Archangium","Dongia","Novosphingobium","Skermanella","Luteitalea","Chthoniobacter","Aetherobacter","Gemmata","IS-44","Pseudoxanthomonas","Niastella","Pirellula","Rubrivivax","JGI_0001001-H03","Gaiella","Altererythrobacter","Terrimonas","Citrifermentans","Lysinibacillus","Luteolibacter","Geobacter","Phaselicystis","Caenimonas","Dinghuibacter","Ohtaekwangia","Methylotenera","Lechevalieria","OM60(NOR5)_clade","Clostridium_sensu_stricto_1","Candidatus_Xiphinematobacter","Paludibaculum","Opitutus","Lysobacter","Flavisolibacter","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Romboutsia","Parasegetibacter","Dechloromonas","Ahniella","Aurantisolimonas","Noviherbaspirillum","Woeseia","Leptothrix","Ellin6055","Pedobacter","BIyi10","Aridibacter","Oxalicibacterium","Pontibacter","possible_genus_04","Caulobacter","Flavitalea","Rhizobacter","Phenylobacterium","OLB12","Gemmatimonas","Candidatus_Solibacter","Edaphobaculum","mle1-7","Puia","Blastococcus","AKYG587","Agromyces","Rhizocola","Rhodoplanes","Stenotrophobacter","Sphingobium","Ellin517","Clostridium_sensu_stricto_13","Pedomicrobium","SWB02","Cellvibrio","Roseimicrobium","Bacillus","Tabrizicola","Nakamurella","SH-PL14","Microvirga","Streptomyces","Pir4_lineage","Algoriphagus","Polycyclovorans","Iamia","Zavarzinella","Fimbriiglobus","Nordella","Lacibacter","Terrisporobacter","Flavihumibacter","Qipengyuania","Lacunisphaera","Intrasporangium","Candidatus_Alysiosphaera","Verrucomicrobium","Actinocorallia","Stenotrophomonas","Defluviicoccus","Dyadobacter","Marmoricola","Pseudonocardia","Hirschia","Pseudorhodoplanes","Dactylosporangium","Azoarcus","Turicibacter","Tychonema_CCAP_1459-11B","Brevundimonas","Singulisphaera","Pantoea","Tumebacillus","Actinoplanes","Janthinobacterium","Methylobacterium-Methylorubrum","Polaromonas","Kineosporia","Sphingopyxis","Pajaroellobacter","Sideroxydans","Anaerolinea","Paenibacillus","Kaistia","Paeniclostridium","Aeromonas","Galbitalea","Promicromonospora","Candidatus_Nitrotoga","DEV008","Rhodomicrobium","OLB13","Kribbella","Glycomyces","Sporocytophaga","Hydrogenophaga","Herminiimonas","Candidatus_Berkiella","Frondihabitans","Rhodoferax","Thiobacillus","Achromobacter","Cytophaga","Cellulomonas","SH3-11","Bosea","Phyllobacterium","Mucilaginibacter","Parafilimonas","Nocardioides","P3OB-42","Amycolatopsis","Fluviicola","Lautropia","Aeromicrobium","Sphingorhabdus","LD29","Anaeromyxobacter","Psychrobacillus","Longispora","Acidovorax","Chitinophaga","Duganella","Micromonospora","CL500-29_marine_group","Herpetosiphon","Sphingobacterium","Dokdonella","OM27_clade","Chryseobacterium","Rhodobacter","Taibaiella","Candidatus_Ovatusbacter","Sorangium","alphaI_cluster","Limnohabitans","Aquicella","Roseisolibacter","Blastopirellula","SM1A02","Ilumatobacter","Nannocystis","Litorilinea","Nitrosomonas","Blastocatella","Sumerlaea","Klebsiella","UTBCD1","Solirubrobacter","Sulfurifustis","Belnapia","Chthonomonas","Terrimicrobium","Schlesneria","UTCFX1","Asticcacaulis","Luedemannella","YC-ZSS-LKJ147","WCHB1-32","Rhodopirellula","Gallionella","Planctomicrobium","Longimicrobium","Alterococcus","Limnobacter","Pseudorhodoferax","Labrys","Amaricoccus","Rhodocytophaga","Oligoflexus","Saccharothrix","Bauldia","Geotalea","Mycobacterium","Nitratireductor","Roseomonas","Yersinia","Methylobacter","Oikopleura","Luteimonas","Cellulosimicrobium","Acinetobacter","Solitalea","Nitrobacter","Allokutzneria","Nonomuraea","Tahibacter","Cohnella","Candidatus_Koribacter","Hymenobacter","Demequina","Rhizorhapis","Pseudoflavitalea","Methylobacillus","Candidatus_Accumulibacter","Paracoccus","Myxococcus","Rubrobacter","Sandaracinus","Prosthecobacter","Desulfobulbus","Legionella","Fictibacillus","Sphingoaurantiacus","Pseudofulvimonas","Abditibacterium","Neo-b11","Umezawaea","Natranaerovirga","Leeia","Polyangium","Psychroglaciecola","Parviterribacter","Sediminibacterium","Turneriella","DSSD61","BD1-7_clade","Paraclostridium","Rubritepida","Crocinitomix","Croceicoccus","Peredibacter","CL500-3","KD3-10","Emticicia","Pedosphaera","Armatimonas","Phycisphaera","Azospira","BSV13","Moheibacter","BBMC-4","Syntrophobacter","Leadbetterella","Limibaculum","GTL1","Roseimaritima","Bdellovibrio","Sphaerobacter","Lentimicrobium","Bacteriovorax","Candidatus_Lumbricincola","Halomonas","Nocardia","Taonella","Phaeodactylibacter"
"mod_member_conventional",3,6,6,1,6,6,6,1,6,6,3,7,1,7,6,4,3,3,5,1,4,1,6,1,9,6,6,6,3,7,9,6,6,9,4,3,2,6,6,6,6,6,6,4,3,6,6,6,1,3,1,1,2,8,1,2,6,3,3,7,3,9,5,2,6,8,3,4,9,5,3,1,3,6,6,6,8,6,9,3,7,6,9,2,4,3,8,7,6,6,1,5,9,7,2,6,6,2,3,6,4,3,2,6,5,3,5,6,6,4,6,6,5,6,6,5,6,6,3,2,3,5,6,8,5,2,6,5,3,7,7,9,5,4,2,7,9,5,5,3,7,6,3,3,5,2,7,3,7,7,6,6,6,7,5,4,6,7,7,5,9,4,6,7,5,7,6,8,7,7,7,6,2,4,7,3,7,4,3,4,6,6,9,4,7,5,8,6,7,9,5,5,4,3,6,4,6,3,8,5,7,7,7,8,5,5,7,5,2,6,2,4,6,6,4,6,6,1,6,4,5,2,6,3,6,5,5,9,7,4,6,3,6,3,3,3,7,4,2,4,10,3,5,5,7,7,7,5,3,4,7,7,1,7,4,4,5,4,3,9,9,9,9,9,5,9,7,7,3,4,4,3,3,4,3,5,2,3,9,4,4,9,9,9,9,9,9,9,9,9,4,3,9,9,9,9,9,1,9,3,9,7,9,9,9,7,9,3,8,6,3,9,9,9,9,9,9
"mod_member_organic",4,1,2,1,1,1,3,4,2,1,4,4,2,6,1,7,4,7,4,2,2,1,4,7,4,1,5,2,4,7,4,4,3,7,3,4,2,1,1,1,2,1,2,7,4,1,2,1,4,4,2,2,2,1,2,3,7,1,1,1,4,2,3,2,1,6,2,4,2,7,1,1,6,1,3,4,3,6,1,1,6,7,4,2,2,1,5,3,1,4,6,3,2,7,2,1,6,3,1,1,1,1,1,3,3,7,1,7,2,3,1,2,1,1,7,3,1,3,7,2,7,3,1,3,2,7,2,2,7,4,2,7,3,2,2,2,2,2,2,2,2,2,7,1,2,3,1,7,3,7,3,3,3,2,3,6,2,6,3,3,1,3,8,1,6,1,7,7,1,1,7,3,6,5,7,1,7,3,3,2,7,2,7,6,7,2,2,2,2,1,3,2,3,4,3,3,5,2,2,3,4,6,7,1,7,2,4,1,7,1,1,2,7,1,3,3,7,5,7,2,3,7,1,2,1,3,1,1,2,2,5,2,1,5,1,1,4,1,2,3,7,3,1,1,1,5,6,4,6,2,5,3,4,1,5,3,5,1,5,1,7,2,1,2,3,7,7,5,6,6,7,2,5,5,7,3,3,5,3,5,2,2,7,3,5,2,3,3,1,2,1,5,5,7,5,7,3,5,5,5,7,5,1,5,5,1,5,7,7,6,3,6,6,7,5,1,7
