"","V1","V2"
"456",98,222
"457",98,234
"458",99,264
"459",100,157
"460",100,162
"461",101,156
"462",102,135
"463",102,144
"464",102,179
"465",102,211
"466",102,240
"467",102,278
"468",103,222
"469",104,223
"470",105,116
"471",105,186
"472",106,118
"473",106,129
"474",106,206
"475",107,200
"476",107,311
"477",108,109
"478",108,123
"479",108,172
"480",108,265
"481",108,301
"482",109,213
"483",109,261
"484",109,310
"485",110,149
"486",110,156
"487",110,196
"488",110,288
"489",111,217
"490",111,223
"491",111,231
"492",112,118
"493",113,160
"494",113,192
"495",114,213
"496",114,275
"497",115,157
"498",115,242
"499",116,160
"500",117,210
"501",117,225
"502",117,233
"503",117,264
"504",118,125
"505",118,172
"506",118,197
"507",118,278
"508",119,265
"509",121,148
"510",121,271
"511",122,139
"512",122,191
"513",122,226
"514",123,188
"515",123,278
"516",124,141
"517",124,148
"518",124,199
"519",124,204
"520",124,240
"521",124,301
"522",124,309
"523",124,315
"524",125,193
"525",125,227
"526",126,222
"527",127,182
"528",127,224
"529",128,224
"530",128,227
"531",129,155
"532",130,198
"533",130,237
"534",130,251
"535",131,177
"536",131,182
"537",131,189
"538",131,200
"539",131,236
"540",132,150
"541",132,282
"542",132,288
"543",132,294
"544",132,309
"545",133,155
"546",133,243
"547",133,252
"548",134,178
"549",134,184
"550",134,230
"551",134,247
"552",134,263
"553",134,278
"554",135,162
"555",135,209
"556",136,185
"557",136,202
"558",137,190
"559",137,228
"560",137,261
"561",137,262
"562",137,263
"563",137,264
"564",137,266
"565",137,272
"566",137,282
"567",137,283
"568",137,284
"569",137,285
"570",137,286
"571",137,287
"572",137,289
"573",137,290
"574",137,294
"575",137,295
"576",137,297
"577",137,299
"578",137,301
"579",137,303
"580",137,304
"581",137,305
"582",137,307
"583",137,312
"584",137,313
"585",137,314
"586",137,316
"587",137,317
"588",138,208
"589",138,221
"590",139,197
"591",140,143
"592",140,198
"593",140,269
"594",141,169
"595",141,185
"596",141,201
"597",141,240
"598",141,251
"599",142,144
"600",142,214
"601",142,240
"602",143,234
"603",143,236
"604",143,275
"605",143,292
"606",144,169
"607",144,179
"608",144,236
"609",144,259
"610",144,273
"611",145,155
"612",145,156
"613",145,299
"614",146,181
"615",146,222
"616",146,237
"617",146,240
"618",146,264
"619",146,276
"620",147,159
"621",147,189
"622",147,261
"623",148,259
"624",148,272
"625",148,311
"626",149,170
"627",149,246
"628",149,254
"629",149,302
"630",150,158
"631",150,177
"632",150,185
"633",150,193
"634",150,251
"635",151,181
"636",151,217
"637",152,153
"638",152,203
"639",152,232
"640",152,249
"641",153,163
"642",153,214
"643",154,169
"644",155,188
"645",155,192
"646",156,161
"647",156,178
"648",156,180
"649",156,218
"650",156,226
"651",156,230
"652",156,274
"653",156,291
"654",157,253
"655",158,203
"656",160,220
"657",160,243
"658",161,218
"659",161,282
"660",161,301
"661",162,215
"662",162,240
"663",162,255
"664",163,231
"665",164,171
"666",164,207
"667",164,288
"668",165,274
"669",165,282
"670",165,288
"671",166,175
"672",166,306
"673",167,193
"674",167,194
"675",168,195
"676",168,199
"677",168,204
"678",168,257
"679",168,262
"680",169,236
"681",170,206
"682",170,302
"683",170,312
"684",171,224
"685",171,234
"686",171,263
"687",171,273
"688",172,174
"689",172,225
"690",173,239
"691",174,191
"692",174,291
"693",174,299
"694",174,314
"695",175,195
"696",175,202
"697",175,247
"698",176,272
"699",177,207
"700",178,258
"701",178,280
"702",179,251
"703",180,196
"704",180,220
"705",180,238
"706",180,274
"707",181,195
"708",181,273
"709",182,300
"710",183,307
"711",183,315
"712",184,254
"713",184,271
"714",185,267
"715",185,269
"716",185,277
"717",185,306
"718",186,258
"719",186,259
"720",186,276
"721",186,302
"722",187,295
"723",187,310
"724",187,312
"725",188,195
"726",189,230
"727",189,267
"728",190,228
"729",190,261
"730",190,262
"731",190,263
"732",190,264
"733",190,266
"734",190,282
"735",190,283
"736",190,284
"737",190,285
"738",190,286
"739",190,287
"740",190,289
"741",190,290
"742",190,294
"743",190,295
"744",190,296
"745",190,297
"746",190,299
"747",190,301
"748",190,303
"749",190,304
"750",190,305
"751",190,307
"752",190,312
"753",190,313
"754",190,314
"755",190,316
"756",190,317
"757",191,195
"758",191,221
"759",191,226
"760",191,247
"761",191,257
"762",192,202
"763",192,248
"764",192,264
"765",193,215
"766",193,238
"767",193,252
"768",193,291
"769",193,296
"770",194,198
"771",194,204
"772",194,235
"773",194,259
"774",194,300
"775",194,308
"776",195,280
"777",195,281
"778",196,281
"779",196,291
"780",197,274
"781",198,219
"782",198,224
"783",198,271
"784",198,292
"785",198,300
"786",199,204
"787",199,285
"788",200,243
"789",201,202
"790",201,237
"791",201,254
"792",202,215
"793",202,270
"794",203,247
"795",203,274
"796",204,300
"797",205,257
"798",205,267
"799",206,208
"800",206,227
"801",207,251
"802",207,267
"803",207,268
"804",207,302
"805",207,317
"806",209,242
"807",209,263
"808",209,306
"809",210,214
"810",210,216
"811",210,300
"812",211,277
"813",212,250
"814",212,271
"815",213,221
"816",214,217
"817",214,223
"818",215,274
"819",216,223
"820",216,231
"821",217,231
"822",218,253
"823",218,274
"824",220,243
"825",220,255
"826",220,281
"827",221,243
"828",221,244
"829",223,235
"830",223,310
"831",224,233
"832",224,239
"833",224,272
"834",224,314
"835",225,253
"836",225,257
"837",225,282
"838",225,304
"839",227,265
"840",228,261
"841",228,262
"842",228,264
"843",228,266
"844",228,282
"845",228,283
"846",228,284
"847",228,285
