"","type","measure","comp.size","comp.pct","removed.pct","management"
"1","Targeted vertex attack","degree",316,1,0,"organic"
"2","Targeted vertex attack","degree",315,0.996835443037975,0.00315457413249211,"organic"
"3","Targeted vertex attack","degree",314,0.993670886075949,0.00630914826498423,"organic"
"4","Targeted vertex attack","degree",313,0.990506329113924,0.00946372239747634,"organic"
"5","Targeted vertex attack","degree",312,0.987341772151899,0.0126182965299685,"organic"
"6","Targeted vertex attack","degree",311,0.984177215189873,0.0157728706624606,"organic"
"7","Targeted vertex attack","degree",310,0.981012658227848,0.0189274447949527,"organic"
"8","Targeted vertex attack","degree",309,0.977848101265823,0.0220820189274448,"organic"
"9","Targeted vertex attack","degree",308,0.974683544303797,0.0252365930599369,"organic"
"10","Targeted vertex attack","degree",307,0.971518987341772,0.028391167192429,"organic"
"11","Targeted vertex attack","degree",306,0.968354430379747,0.0315457413249211,"organic"
"12","Targeted vertex attack","degree",305,0.965189873417722,0.0347003154574132,"organic"
"13","Targeted vertex attack","degree",304,0.962025316455696,0.0378548895899054,"organic"
"14","Targeted vertex attack","degree",303,0.958860759493671,0.0410094637223975,"organic"
"15","Targeted vertex attack","degree",302,0.955696202531646,0.0441640378548896,"organic"
"16","Targeted vertex attack","degree",301,0.95253164556962,0.0473186119873817,"organic"
"17","Targeted vertex attack","degree",300,0.949367088607595,0.0504731861198738,"organic"
"18","Targeted vertex attack","degree",299,0.94620253164557,0.0536277602523659,"organic"
"19","Targeted vertex attack","degree",298,0.943037974683544,0.056782334384858,"organic"
"20","Targeted vertex attack","degree",297,0.939873417721519,0.0599369085173502,"organic"
"21","Targeted vertex attack","degree",296,0.936708860759494,0.0630914826498423,"organic"
"22","Targeted vertex attack","degree",295,0.933544303797468,0.0662460567823344,"organic"
"23","Targeted vertex attack","degree",294,0.930379746835443,0.0694006309148265,"organic"
"24","Targeted vertex attack","degree",293,0.927215189873418,0.0725552050473186,"organic"
"25","Targeted vertex attack","degree",292,0.924050632911392,0.0757097791798107,"organic"
"26","Targeted vertex attack","degree",291,0.920886075949367,0.0788643533123028,"organic"
"27","Targeted vertex attack","degree",290,0.917721518987342,0.082018927444795,"organic"
"28","Targeted vertex attack","degree",289,0.914556962025316,0.0851735015772871,"organic"
"29","Targeted vertex attack","degree",288,0.911392405063291,0.0883280757097792,"organic"
"30","Targeted vertex attack","degree",287,0.908227848101266,0.0914826498422713,"organic"
"31","Targeted vertex attack","degree",286,0.905063291139241,0.0946372239747634,"organic"
"32","Targeted vertex attack","degree",285,0.901898734177215,0.0977917981072555,"organic"
"33","Targeted vertex attack","degree",284,0.89873417721519,0.100946372239748,"organic"
"34","Targeted vertex attack","degree",282,0.892405063291139,0.10410094637224,"organic"
"35","Targeted vertex attack","degree",281,0.889240506329114,0.107255520504732,"organic"
"36","Targeted vertex attack","degree",280,0.886075949367089,0.110410094637224,"organic"
"37","Targeted vertex attack","degree",279,0.882911392405063,0.113564668769716,"organic"
"38","Targeted vertex attack","degree",278,0.879746835443038,0.116719242902208,"organic"
"39","Targeted vertex attack","degree",277,0.876582278481013,0.1198738170347,"organic"
"40","Targeted vertex attack","degree",276,0.873417721518987,0.123028391167192,"organic"
"41","Targeted vertex attack","degree",275,0.870253164556962,0.126182965299685,"organic"
"42","Targeted vertex attack","degree",274,0.867088607594937,0.129337539432177,"organic"
"43","Targeted vertex attack","degree",272,0.860759493670886,0.132492113564669,"organic"
"44","Targeted vertex attack","degree",271,0.857594936708861,0.135646687697161,"organic"
"45","Targeted vertex attack","degree",270,0.854430379746835,0.138801261829653,"organic"
"46","Targeted vertex attack","degree",269,0.85126582278481,0.141955835962145,"organic"
"47","Targeted vertex attack","degree",267,0.844936708860759,0.145110410094637,"organic"
"48","Targeted vertex attack","degree",266,0.841772151898734,0.148264984227129,"organic"
"49","Targeted vertex attack","degree",265,0.838607594936709,0.151419558359621,"organic"
"50","Targeted vertex attack","degree",264,0.835443037974684,0.154574132492114,"organic"
"51","Targeted vertex attack","degree",263,0.832278481012658,0.157728706624606,"organic"
"52","Targeted vertex attack","degree",262,0.829113924050633,0.160883280757098,"organic"
"53","Targeted vertex attack","degree",261,0.825949367088608,0.16403785488959,"organic"
"54","Targeted vertex attack","degree",260,0.822784810126582,0.167192429022082,"organic"
"55","Targeted vertex attack","degree",259,0.819620253164557,0.170347003154574,"organic"
"56","Targeted vertex attack","degree",258,0.816455696202532,0.173501577287066,"organic"
"57","Targeted vertex attack","degree",257,0.813291139240506,0.176656151419558,"organic"
"58","Targeted vertex attack","degree",256,0.810126582278481,0.17981072555205,"organic"
"59","Targeted vertex attack","degree",255,0.806962025316456,0.182965299684543,"organic"
"60","Targeted vertex attack","degree",254,0.80379746835443,0.186119873817035,"organic"
"61","Targeted vertex attack","degree",253,0.800632911392405,0.189274447949527,"organic"
"62","Targeted vertex attack","degree",252,0.79746835443038,0.192429022082019,"organic"
"63","Targeted vertex attack","degree",251,0.794303797468354,0.195583596214511,"organic"
"64","Targeted vertex attack","degree",250,0.791139240506329,0.198738170347003,"organic"
"65","Targeted vertex attack","degree",248,0.784810126582278,0.201892744479495,"organic"
"66","Targeted vertex attack","degree",247,0.781645569620253,0.205047318611987,"organic"
"67","Targeted vertex attack","degree",246,0.778481012658228,0.208201892744479,"organic"
"68","Targeted vertex attack","degree",245,0.775316455696203,0.211356466876972,"organic"
"69","Targeted vertex attack","degree",244,0.772151898734177,0.214511041009464,"organic"
"70","Targeted vertex attack","degree",243,0.768987341772152,0.217665615141956,"organic"
"71","Targeted vertex attack","degree",242,0.765822784810127,0.220820189274448,"organic"
"72","Targeted vertex attack","degree",241,0.762658227848101,0.22397476340694,"organic"
"73","Targeted vertex attack","degree",240,0.759493670886076,0.227129337539432,"organic"
"74","Targeted vertex attack","degree",239,0.756329113924051,0.230283911671924,"organic"
"75","Targeted vertex attack","degree",237,0.75,0.233438485804416,"organic"
"76","Targeted vertex attack","degree",236,0.746835443037975,0.236593059936909,"organic"
"77","Targeted vertex attack","degree",235,0.743670886075949,0.239747634069401,"organic"
"78","Targeted vertex attack","degree",234,0.740506329113924,0.242902208201893,"organic"
"79","Targeted vertex attack","degree",233,0.737341772151899,0.246056782334385,"organic"
