"","V1","V2"
"399",90,174
"400",90,253
"401",90,258
"402",91,142
"403",91,256
"404",91,291
"405",91,310
"406",91,312
"407",92,96
"408",92,196
"409",92,224
"410",92,277
"411",92,308
"412",93,131
"413",93,135
"414",93,282
"415",94,219
"416",94,257
"417",94,317
"418",95,128
"419",95,224
"420",95,254
"421",96,100
"422",96,162
"423",96,182
"424",97,202
"425",98,105
"426",98,226
"427",99,101
"428",99,103
"429",100,117
"430",100,159
"431",100,167
"432",101,240
"433",102,227
"434",102,243
"435",102,306
"436",102,308
"437",103,111
"438",103,172
"439",103,182
"440",104,128
"441",104,193
"442",105,116
"443",105,128
"444",106,139
"445",106,196
"446",106,203
"447",106,281
"448",106,317
"449",107,114
"450",108,183
"451",108,222
"452",108,261
"453",108,267
"454",108,275
"455",109,145
"456",109,148
"457",109,150
"458",109,250
"459",110,151
"460",110,155
"461",110,168
"462",110,216
"463",110,237
"464",110,244
"465",111,159
"466",111,191
"467",113,291
"468",114,258
"469",115,129
"470",115,132
"471",115,175
"472",115,249
"473",115,301
"474",115,310
"475",116,148
"476",116,155
"477",117,156
"478",117,312
"479",118,172
"480",119,176
"481",119,301
"482",119,314
"483",120,127
"484",120,224
"485",120,262
"486",121,132
"487",121,301
"488",121,308
"489",122,133
"490",122,191
"491",122,196
"492",122,242
"493",122,263
"494",122,284
"495",122,297
"496",123,157
"497",123,176
"498",123,299
"499",123,311
"500",123,317
"501",124,141
"502",124,240
"503",124,275
"504",124,284
"505",125,128
"506",126,135
"507",126,183
"508",126,209
"509",127,147
"510",127,186
"511",127,313
"512",128,217
"513",130,141
"514",130,143
"515",130,192
"516",130,237
"517",130,253
"518",131,180
"519",131,189
"520",131,224
"521",131,239
"522",132,150
"523",133,162
"524",133,191
"525",133,221
"526",133,284
"527",134,182
"528",135,139
"529",136,225
"530",136,262
"531",136,272
"532",136,282
"533",136,305
"534",137,250
"535",137,300
"536",137,305
"537",137,312
"538",138,221
"539",138,297
"540",139,142
"541",139,148
"542",139,174
"543",139,180
"544",139,212
"545",140,142
"546",140,310
"547",140,314
"548",141,187
"549",141,189
"550",141,250
"551",143,171
"552",143,203
"553",143,261
"554",143,266
"555",144,236
"556",145,250
"557",146,284
"558",147,228
"559",147,263
"560",147,316
"561",148,150
"562",148,165
"563",148,175
"564",148,308
"565",149,216
"566",149,266
"567",150,159
"568",150,167
"569",150,184
"570",150,237
"571",151,193
"572",152,172
"573",152,265
"574",152,276
"575",152,312
"576",153,191
"577",153,221
"578",154,180
"579",154,224
"580",155,256
"581",155,263
"582",155,288
"583",156,202
"584",156,212
"585",156,249
"586",156,269
"587",156,312
"588",156,313
"589",156,316
"590",157,189
"591",157,212
"592",157,224
"593",157,313
"594",158,184
"595",158,288
"596",159,177
"597",159,191
"598",159,226
"599",159,240
"600",159,257
"601",159,279
"602",160,172
"603",160,187
"604",160,215
"605",160,226
"606",160,240
"607",160,297
"608",160,311
"609",161,211
"610",161,212
"611",162,167
"612",162,191
"613",162,297
"614",164,225
"615",164,245
"616",164,289
"617",165,173
"618",165,252
"619",165,289
"620",166,245
"621",167,177
"622",167,184
"623",167,266
"624",168,171
"625",168,225
"626",168,271
"627",168,311
"628",169,205
"629",169,233
"630",169,244
"631",169,258
"632",169,314
"633",170,190
"634",170,245
"635",170,275
"636",170,278
"637",171,261
"638",171,311
"639",172,191
"640",172,221
"641",172,311
"642",173,313
"643",174,246
"644",174,257
"645",174,285
"646",175,226
"647",176,188
"648",176,208
"649",176,211
"650",176,225
"651",176,277
"652",177,181
"653",177,212
"654",178,195
"655",179,256
"656",180,188
"657",180,240
"658",180,261
"659",180,282
"660",181,219
"661",182,206
"662",182,283
"663",183,185
"664",183,217
"665",183,241
"666",183,261
"667",183,283
"668",184,202
"669",185,219
"670",185,222
"671",187,226
"672",187,266
"673",188,239
"674",188,246
"675",188,282
"676",189,212
"677",189,262
"678",190,228
"679",190,263
"680",190,283
"681",191,193
"682",191,215
"683",191,240
"684",191,252
"685",191,276
"686",192,198
"687",192,272
"688",193,256
"689",193,297
"690",194,207
"691",195,244
"692",195,256
"693",195,276
"694",196,242
"695",196,244
"696",196,276
"697",197,223
"698",197,234
"699",198,230
"700",198,239
"701",198,281
"702",199,224
"703",199,250
"704",199,262
"705",199,272
"706",200,242
"707",200,301
"708",201,207
"709",201,253
"710",201,262
"711",202,270
"712",202,290
"713",202,313
"714",203,209
"715",203,305
"716",204,210
"717",204,243
"718",205,233
"719",205,241
"720",205,251
"721",205,255
"722",205,259
"723",205,268
"724",205,273
"725",205,274
"726",205,294
"727",205,295
"728",206,270
"729",207,237
"730",207,248
"731",207,253
"732",209,275
"733",210,214
"734",210,223
"735",210,227
"736",210,233
"737",210,305
"738",211,240
"739",211,284
"740",212,291
"741",213,262
"742",214,289
"743",215,226
"744",215,252
"745",215,272
"746",215,311
"747",217,275
"748",218,249
"749",218,257
"750",218,278
"751",219,267
"752",220,290
"753",221,266
"754",221,281
"755",221,311
"756",222,294
"757",223,257
"758",223,263
"759",223,317
"760",227,251
"761",227,255
"762",227,258
"763",227,259
"764",227,268
"765",227,273
"766",227,274
"767",227,292
"768",227,293
"769",227,295
"770",227,298
"771",227,304
"772",227,307
"773",227,315
"774",228,291
"775",229,284
"776",229,290
"777",230,231
"778",230,233
"779",230,239
"780",230,247
"781",230,253
"782",230,262
"783",230,272
"784",230,282
"785",230,285
"786",232,266
"787",232,281
"788",232,305
"789",233,257
"790",234,265
"791",234,310
"792",235,263
"793",235,300
"794",235,303
"795",236,275
"796",237,253
"797",238,244
"798",238,254
"799",238,266
"800",238,287
"801",239,283
"802",240,275
"803",240,284
"804",242,276
"805",243,244
"806",243,254
"807",243,316
"808",244,258
"809",244,286
"810",246,257
"811",246,312
"812",247,270
"813",248,251
"814",248,255
"815",248,259
"816",248,268
"817",248,273
"818",248,274
"819",248,292
"820",248,293
"821",248,295
"822",248,298
"823",248,304
"824",248,307
"825",248,315
"826",249,251
"827",249,255
"828",249,268
"829",249,273
"830",249,274
"831",249,292
"832",249,293
"833",249,310
"834",250,262
"835",250,283
"836",251,252
"837",251,255
"838",251,259
"839",251,268
"840",251,273
"841",251,274
"842",251,276
"843",251,278
"844",251,280
"845",251,283
"846",251,291
"847",251,292
"848",251,293
"849",251,295
"850",251,298
"851",251,299
"852",251,300
"853",251,302
"854",251,304
"855",251,305
"856",251,307
"857",251,312
"858",251,315
"859",252,255
"860",252,259
"861",252,316
"862",254,262
